conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,80E+18;Fri May 31 12:06:42 +0000 2024;5;#NAME?;;;;;;;;;;;
1,80E+18;Fri May 31 06:39:06 +0000 2024;3;-jualaness rok cargo celana knit pashmina kaos rayon vest yang minat monggo komen yaa https://t.co/rzlSq7TZZT;1,80E+18;https://pbs.twimg.com/media/GO40pWIa0AAE2kH.jpg;;in;BACA RULESâž¡ï¸;0;3;0;https://x.com/unnesmenfess/status/1796431191975047537;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 09:34:46 +0000 2024;0;-ness adakah yang jual/preloved rok kaya gini yang warna putih/bw. Tapi yang panjangnya 96/97 cm https://t.co/uAzFfptBKl;1,80E+18;https://pbs.twimg.com/media/GO5c2n_awAIpMRS.jpg;;in;BACA RULESâž¡ï¸;0;2;0;https://x.com/unnesmenfess/status/1796475399331078252;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 07:19:52 +0000 2024;0;-jualaness yukkk angkutt jeans nyaa aku drop thread an nya dibawah yaa ambil lebih dua aku kasih diskonn hihi https://t.co/iVouqBntgP;1,80E+18;https://pbs.twimg.com/media/GO49-aibkAAuuc6.jpg;;in;BACA RULESâž¡ï¸;0;1;0;https://x.com/unnesmenfess/status/1796441448214344027;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 01:45:32 +0000 2024;1;-jualaness parfum baru kepake sedikitt varian omnia 16k yg scandal 14k take all jadi 27k aja yaa bisa anter sampe depan koss https://t.co/fMDeRD9fSb;1,80E+18;https://pbs.twimg.com/media/GO3xdDkagAA8AGC.jpg;;in;BACA RULESâž¡ï¸;0;6;0;https://x.com/unnesmenfess/status/1796357313827405911;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 03:05:08 +0000 2024;3;-jualaness masi bagus dan berfungsi dengan baik (ambil di kos yaa) https://t.co/T9Z1nd7seL;1,80E+18;https://pbs.twimg.com/media/GO4Dq_3aMAE1ho9.jpg;;in;BACA RULESâž¡ï¸;0;5;0;https://x.com/unnesmenfess/status/1796377343843533266;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 02:21:43 +0000 2024;4;-jualaness Jual koper 200k ukuran 24 inch masih baru belum dipakai sama sekali kompor portabel 90k baru dipake 2 bulan https://t.co/DDDfi8OWpE;1,80E+18;https://pbs.twimg.com/media/GO35vE7bQAAUzLh.jpg;;in;BACA RULESâž¡ï¸;0;5;0;https://x.com/unnesmenfess/status/1796366417631269222;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 08:25:00 +0000 2024;10;-ness sudahkah kalian ngemil hari ini? keypo pastry cempaka mulai dari 15k aja help enak bgt https://t.co/9KTbtrIC2d;1,80E+18;https://pbs.twimg.com/media/GO5M4mmbgAA5BjQ.jpg;;in;BACA RULESâž¡ï¸;0;1;0;https://x.com/unnesmenfess/status/1796457842326814804;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 15:15:15 +0000 2024;20;Sate cak dul -ness sender baru nyoba pertama kali dan langsung sukaaa https://t.co/IQIexxZowp;1,80E+18;https://pbs.twimg.com/media/GO6qyHzbMAAvXiM.jpg;;in;BACA RULESâž¡ï¸;0;4;0;https://x.com/unnesmenfess/status/1796561084050219029;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 15:27:03 +0000 2024;2;[titipan] wts tiket unfest 120k/tiket kalo ambil 3 langsung bisa nego pembayaran cod juga bisaa (dijual karena mau kkn) -jualaness https://t.co/yzWRPxCYSX;1,80E+18;https://pbs.twimg.com/media/GO6te1NbsAAWb6h.jpg;;in;BACA RULESâž¡ï¸;0;1;1;https://x.com/unnesmenfess/status/1796564051503517828;1,19E+18;unnesmenfess
